Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[False, True, False, True]",5,0.3966825008392334,1753317506.7719138
1,"[True, False, False, True]",9,1.999887228012085,1753317508.771801
2,"[True, False, True, False]",10,2.0009965896606445,1753317510.7727976
3,"[False, False, False, False]",0,2.0002410411834717,1753317512.7730386
4,"[False, True, False, False]",4,0.0019960403442382812,1753317512.7750347
5,"[False, True, False, True]",5,5.999821186065674,1753317518.7748559
6,"[True, False, False, True]",9,2.001784086227417,1753317520.77664
7,"[True, False, True, False]",10,2.0005292892456055,1753317522.7771692
8,"[False, False, False, False]",0,2.001507043838501,1753317524.7786763
9,"[False, True, False, False]",4,0.0019958019256591797,1753317524.780672
10,"[False, True, False, True]",5,5.998725652694702,1753317530.7793977
11,"[True, False, False, True]",9,2.0018763542175293,1753317532.781274
12,"[True, False, True, False]",10,1.9997005462646484,1753317534.7809746
13,"[False, False, False, False]",0,2.001291275024414,1753317536.782266
14,"[False, True, False, False]",4,0.0019958019256591797,1753317536.7842617
15,"[False, True, False, True]",5,6.000415563583374,1753317542.7846773
16,"[True, False, False, True]",9,1.9988560676574707,1753317544.7835333
17,"[True, False, True, False]",10,2.001124858856201,1753317546.7846582
18,"[False, True, False, False]",4,2.002300977706909,1753317548.7869592
19,"[False, True, False, True]",5,6.000584840774536,1753317554.787544
20,"[True, False, False, True]",9,2.000220537185669,1753317556.7877645
21,"[True, False, True, False]",10,1.99981689453125,1753317558.7875814
22,"[False, True, False, False]",4,2.0023045539855957,1753317560.789886
23,"[False, True, False, True]",5,6.000856161117554,1753317566.7907422
24,"[True, False, False, True]",9,2.001107931137085,1753317568.79185
25,"[True, False, True, False]",10,1.9998557567596436,1753317570.7917058
26,"[False, True, False, False]",4,2.002068042755127,1753317572.793774
27,"[False, True, False, True]",5,5.999257326126099,1753317578.7930312
28,"[True, False, False, True]",9,2.0015876293182373,1753317580.7946188
29,"[True, False, True, False]",10,1.9995598793029785,1753317582.7941787
30,"[False, False, False, False]",0,1.9998197555541992,1753317584.7939985
31,"[False, True, False, False]",4,0.0019462108612060547,1753317584.7959447
32,"[False, True, False, True]",5,6.000868558883667,1753317590.7968132
33,"[True, False, False, True]",9,2.0000953674316406,1753317592.7969086
34,"[True, False, True, False]",10,2.00089430809021,1753317594.797803
35,"[False, False, False, False]",0,2.0020525455474854,1753317596.7998555
36,"[False, True, False, False]",4,0.001995563507080078,1753317596.801851
37,"[False, True, False, True]",5,6.000186443328857,1753317602.8020375
38,"[True, False, False, True]",9,2.0002198219299316,1753317604.8022573
39,"[True, False, True, False]",10,2.00264310836792,1753317606.8049004
40,"[False, False, False, False]",0,1.9984796047210693,1753317608.80338
41,"[False, True, False, False]",4,0.0019998550415039062,1753317608.8053799
42,"[False, True, False, True]",5,6.0001912117004395,1753317614.805571
43,"[True, False, False, True]",9,2.0004048347473145,1753317616.805976
44,"[True, False, True, False]",10,1.998763084411621,1753317618.804739
46,"[False, True, False, False]",4,0.0020003318786621094,1753317620.8078902
45,"[False, False, False, False]",0,2.0011508464813232,1753317620.8058898
47,"[False, True, False, True]",5,5.999311208724976,1753317626.8072014
48,"[True, False, False, True]",9,2.000995397567749,1753317628.8081968
49,"[True, False, True, False]",10,2.0006332397460938,1753317630.80883
50,"[False, False, False, False]",0,2.0000810623168945,1753317632.808911
51,"[False, True, False, False]",4,0.0019953250885009766,1753317632.8109064
52,"[False, True, False, True]",5,5.999558925628662,1753317638.8104653
53,"[True, False, False, True]",9,2.000581741333008,1753317640.811047
54,"[True, False, True, False]",10,2.0002355575561523,1753317642.8112826
55,"[False, False, False, False]",0,2.000365972518921,1753317644.8116486
56,"[False, True, False, False]",4,0.001995563507080078,1753317644.8136442
57,"[False, True, False, True]",5,6.001399040222168,1753317650.8150432
58,"[True, False, False, True]",9,1.9996671676635742,1753317652.8147104
59,"[True, False, True, False]",10,2.0004734992980957,1753317654.8151839
60,"[False, False, False, False]",0,2.0009167194366455,1753317656.8161006
61,"[False, True, False, False]",4,0.0019960403442382812,1753317656.8180966
62,"[False, True, False, True]",5,6.000334024429321,1753317662.8184307
63,"[True, False, False, True]",9,2.0008046627044678,1753317664.8192353
64,"[True, False, True, False]",10,2.000135660171509,1753317666.819371
65,"[False, True, False, False]",4,2.001591920852661,1753317668.820963
66,"[False, True, False, True]",5,6.00010871887207,1753317674.8210716
67,"[False, False, False, False]",0,0.8906216621398926,1753317675.7116933
68,"[False, False, False, False]",0,30.000617027282715,1753317705.7123103
