Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[True, False, True, False]",10,1.9204771518707275,1753313634.8302724
1,"[False, False, False, False]",0,2.001173496246338,1753313636.831446
2,"[False, True, False, False]",4,0.0019998550415039062,1753313636.8334458
3,"[False, True, False, True]",5,1.99932861328125,1753313638.8327744
4,"[True, False, False, True]",9,1.9989471435546875,1753313640.8317215
5,"[True, False, True, False]",10,5.000337839126587,1753313645.8320594
6,"[False, False, False, False]",0,2.0009045600891113,1753313647.832964
7,"[False, True, False, False]",4,0.001995563507080078,1753313647.8349595
