IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 4.104 | timestamp: 1747873957.7797406
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo1: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.354 | timestamp: 1747873958.1339653
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo2: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.735 | timestamp: 1747873958.8688993
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo3: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.209 | timestamp: 1747873959.079331
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo4: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.220 | timestamp: 1747873960.298005
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo5: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.641 | timestamp: 1747873960.938861
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo6: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 5.691 | timestamp: 1747873966.6298196
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo7: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 1.959 | timestamp: 1747873968.5897965
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo8: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 2.059 | timestamp: 1747873970.647744
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo9: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.007 | timestamp: 1747873970.6557617
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo10: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.072 | timestamp: 1747873970.7270386
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo11: [False, True, True, False, False] | Valor do passo: 12 | Duracao (s): 0.049 | timestamp: 1747873970.7757037
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo12: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.642 | timestamp: 1747873971.41761
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo13: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.082 | timestamp: 1747873971.5001771
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo14: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.606 | timestamp: 1747873972.1059444
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo15: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.151 | timestamp: 1747873972.256959
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo16: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.061 | timestamp: 1747873972.3181252
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo17: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.027 | timestamp: 1747873972.3454401
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo18: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.959 | timestamp: 1747873974.304046
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo19: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.213 | timestamp: 1747873974.5166838
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo20: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 5.286 | timestamp: 1747873979.8033426
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo21: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 1.958 | timestamp: 1747873981.761026
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo22: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 2.040 | timestamp: 1747873983.7997513
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo23: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.016 | timestamp: 1747873983.8157508
