IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo29: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.918 | timestamp: 1747875546.9252381
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo30: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 2.016 | timestamp: 1747875548.9414513
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo31: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.022 | timestamp: 1747875548.963471
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo32: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.069 | timestamp: 1747875549.0319757
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo33: [False, True, True, False, False, False, False, True] | Valor do passo: 97 | Duracao (s): 0.033 | timestamp: 1747875549.065989
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo34: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.656 | timestamp: 1747875549.7204895
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo35: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.092 | timestamp: 1747875549.8128128
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo36: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.578 | timestamp: 1747875550.3900418
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo37: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.138 | timestamp: 1747875550.5278215
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo38: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.066 | timestamp: 1747875550.593823
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo39: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.023 | timestamp: 1747875550.616992
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
