Passo21: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.055 | timestamp: 1751935384.4095867
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo22: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.166 | timestamp: 1751935384.5757215
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo23: [False, False, True, False, False, True, False, True] | Valor do passo: 37 | Duracao (s): 0.814 | timestamp: 1751935385.3893895
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo24: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.217 | timestamp: 1751935385.6063652
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo25: [False, False, True, False, False, False, True, False] | Valor do passo: 34 | Duracao (s): 1.171 | timestamp: 1751935386.7770944
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo26: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.184 | timestamp: 1751935386.9605987
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo27: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.856 | timestamp: 1751935387.8161166
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo28: [True, False, False, False, False, True, True, False] | Valor do passo: 134 | Duracao (s): 2.867 | timestamp: 1751935390.6834228
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo29: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.189 | timestamp: 1751935390.8727584
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo30: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 30.001 | timestamp: 1751935420.87376
