IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 7.986 | timestamp: 1747873556.8246138
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo1: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 1.963 | timestamp: 1747873558.7883105
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo2: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 2.056 | timestamp: 1747873560.8430567
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo3: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.021 | timestamp: 1747873560.8650565
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo4: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.072 | timestamp: 1747873560.9365172
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo5: [False, True, True, False, False] | Valor do passo: 12 | Duracao (s): 0.066 | timestamp: 1747873561.0082588
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo6: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.697 | timestamp: 1747873561.6999454
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo7: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.098 | timestamp: 1747873561.7978323
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo8: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.582 | timestamp: 1747873562.3795462
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo9: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.152 | timestamp: 1747873562.5314639
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo10: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 2.056 | timestamp: 1747873564.586593
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo11: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.198 | timestamp: 1747873564.7841177

IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo12: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 14.631 | timestamp: 1747873579.416223
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo13: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 1.970 | timestamp: 1747873581.3855627
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo14: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 2.056 | timestamp: 1747873583.4420533
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo15: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.095 | timestamp: 1747873583.5387716
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo16: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.009 | timestamp: 1747873583.5457766
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo17: [False, True, True, False, False] | Valor do passo: 12 | Duracao (s): 0.057 | timestamp: 1747873583.6027753
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo18: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.629 | timestamp: 1747873584.2315946
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo19: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.058 | timestamp: 1747873584.2898774
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo20: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.637 | timestamp: 1747873584.926926
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo21: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.142 | timestamp: 1747873585.0689206
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo22: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.066 | timestamp: 1747873585.1349337
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo23: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.017 | timestamp: 1747873585.1514883
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo24: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.956 | timestamp: 1747873587.1077952
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo25: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.234 | timestamp: 1747873587.3414583

IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo26: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 11.306 | timestamp: 1747873598.6473787
