IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo27: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 1.959 | timestamp: 1747873600.6064126
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo28: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 2.068 | timestamp: 1747873602.674819
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo29: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.010 | timestamp: 1747873602.6848001
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo30: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.079 | timestamp: 1747873602.7633266
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo31: [False, True, True, False, False] | Valor do passo: 12 | Duracao (s): 0.032 | timestamp: 1747873602.7958882
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo32: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.675 | timestamp: 1747873603.4687705
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo33: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.052 | timestamp: 1747873603.5208395
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo34: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.641 | timestamp: 1747873604.1634696
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo35: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.138 | timestamp: 1747873604.3000512
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo36: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.060 | timestamp: 1747873604.3593974
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo37: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.029 | timestamp: 1747873604.3879218
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo38: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.967 | timestamp: 1747873606.3559973
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo39: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.207 | timestamp: 1747873606.5623918


IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo40: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 11.068 | timestamp: 1747873617.6314607
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo41: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 1.936 | timestamp: 1747873619.5676906
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo42: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 2.032 | timestamp: 1747873621.5996568
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo43: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.019 | timestamp: 1747873621.6186514
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo44: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.081 | timestamp: 1747873621.6998897
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo45: [False, True, True, False, False] | Valor do passo: 12 | Duracao (s): 0.041 | timestamp: 1747873621.740881
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo46: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.636 | timestamp: 1747873622.3771172
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo47: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.058 | timestamp: 1747873622.434715
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo48: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.614 | timestamp: 1747873623.0476155
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo49: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.151 | timestamp: 1747873623.2003882
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo50: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.084 | timestamp: 1747873623.2834163
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo51: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.012 | timestamp: 1747873623.2954466
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo52: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.947 | timestamp: 1747873625.2424078
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo53: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.204 | timestamp: 1747873625.4462078
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo54: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 120.003 | timestamp: 1747873745.4479756
