IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo37: [False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.077 | timestamp: 1747874714.875641
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo38: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.581 | timestamp: 1747874715.4572568
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo39: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.092 | timestamp: 1747874715.5505574
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo40: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.322 | timestamp: 1747874715.872002
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo41: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.357 | timestamp: 1747874716.2286062
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo42: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.877 | timestamp: 1747874717.1061132
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo43: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.251 | timestamp: 1747874717.357334
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo44: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.514 | timestamp: 1747874717.870613
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo45: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.151 | timestamp: 1747874718.0216043
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo46: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 1.785 | timestamp: 1747874719.8072019
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo47: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.372 | timestamp: 1747874720.1795042
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo48: [False, False, False, True, False] | Valor do passo: 2 | Duracao (s): 0.006 | timestamp: 1747874720.1855102
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo49: [False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.009 | timestamp: 1747874720.1935146
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo50: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.069 | timestamp: 1747874720.2672074
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo51: [False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.013 | timestamp: 1747874720.276208
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo52: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.088 | timestamp: 1747874720.3638241
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo53: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.144 | timestamp: 1747874720.5081706
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo54: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.023 | timestamp: 1747874720.5309217
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo55: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.065 | timestamp: 1747874720.5951226
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo56: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.802 | timestamp: 1747874721.3961136
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo57: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.191 | timestamp: 1747874721.5875828
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo58: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 9.609 | timestamp: 1747874731.1970692
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo59: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.315 | timestamp: 1747874731.51308
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo60: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 0.234 | timestamp: 1747874731.7468297
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
